mne1,nsexe,nag,ntravail,ntpp,ndiplo,idmen,obs,same_sexe,hh_twin_after
4,2,34,2,,8,1010180,2,1,0
3,2,29,2,,6,1010280,1,0,0
3,1,24,1,2,5,1010280,2,0,0
2,1,44,1,2,1,1010320,1,0,0
2,2,43,1,2,7,1010320,2,0,0
2,1,55,1,2,7,1010350,1,1,0
2,2,47,2,,4,1010350,2,1,0
4,1,47,1,2,9,1010520,1,0,0
4,2,43,1,2,6,1010520,2,0,0
2,2,52,1,,9,1010560,1,1,0
2,1,52,1,,9,1010560,2,1,0
4,1,36,1,2,3,1010650,1,1,0
4,2,33,2,,8,1010650,2,1,0
3,1,32,1,2,1,1010710,1,1,0
3,2,31,2,,4,1010710,2,1,0
2,1,49,1,,1,1010800,1,0,0
2,2,38,2,,4,1010800,2,0,0
2,2,42,1,2,7,1010870,1,0,0
2,1,41,1,2,5,1010870,2,0,0
2,1,35,1,2,5,1010930,1,1,0
2,2,34,1,2,8,1010930,2,1,0
2,1,44,1,,9,1010990,1,1,0
2,2,37,1,,8,1010990,2,1,0
2,1,34,1,2,4,1011020,1,1,0
2,2,32,1,2,4,1011020,2,1,0
1,1,51,1,2,3,1011150,1,0,0
1,2,43,1,2,2,1011150,2,0,0
2,1,48,1,1,4,1011220,1,1,1
2,2,42,1,1,1,1011220,2,1,1
3,1,51,1,,4,1011230,1,0,0
3,2,38,2,,1,1011230,2,0,0
2,2,43,2,,1,1011330,1,1,0
2,1,43,1,2,1,1011330,2,1,0
2,2,34,1,2,8,1011380,1,1,0
2,1,27,1,2,4,1011380,2,1,0
2,2,34,1,2,9,1011500,1,1,0
2,1,29,1,2,9,1011500,2,1,0
3,1,49,1,2,9,1011520,1,0,0
3,2,45,2,,8,1011520,2,0,0
2,1,37,1,2,9,1011710,1,1,0
2,2,36,1,2,9,1011710,2,1,0
2,1,41,1,2,4,1011760,1,1,0
2,2,40,1,2,8,1011760,2,1,0
3,1,39,1,2,1,1011810,1,1,0
3,2,32,1,2,6,1011810,2,1,0
0,1,54,1,2,9,1011820,1,0,0
0,2,51,1,2,9,1011820,2,0,0
4,1,44,1,,1,1011880,1,0,0
4,2,42,1,1,1,1011880,2,0,0
2,1,52,1,2,1,1011930,1,0,0
2,2,42,1,2,8,1011930,2,0,0
2,1,53,1,2,,1011940,1,1,0
2,2,47,1,2,9,1011940,2,1,0
2,1,36,1,1,9,1012030,1,0,0
2,2,35,1,1,8,1012030,2,0,0
3,1,50,1,2,9,1012050,1,0,0
3,2,44,1,2,8,1012050,2,0,0
2,1,36,1,2,4,1012090,1,1,0
2,2,33,1,2,4,1012090,2,1,0
2,1,48,2,,8,1012130,1,1,0
2,2,46,1,1,9,1012130,2,1,0
3,1,57,1,2,9,1012140,1,1,0
3,2,47,2,,7,1012140,2,1,0
3,2,46,1,2,9,1012170,1,1,0
3,1,45,1,2,9,1012170,2,1,0
2,1,46,1,2,4,1012190,1,0,0
2,2,41,1,2,4,1012190,2,0,0
2,1,47,1,2,4,1012250,1,1,0
2,2,47,1,2,6,1012250,2,1,0
3,2,42,2,,4,1012310,1,1,0
3,1,36,2,,4,1012310,2,1,0
3,2,35,1,2,5,1012320,1,0,0
3,1,34,1,2,5,1012320,2,0,0
2,1,50,1,2,4,1012410,1,0,0
2,2,48,1,2,9,1012410,2,0,0
2,1,50,1,2,4,1012460,1,0,0
2,2,50,1,2,6,1012460,2,0,0
3,1,45,1,2,8,1012710,1,0,0
3,2,42,1,2,9,1012710,2,0,0
2,2,39,1,2,5,1012780,1,0,0
2,1,39,1,2,4,1012780,2,0,0
2,2,43,2,,9,1013090,1,0,0
2,1,43,1,2,1,1013090,2,0,0
2,2,40,1,2,7,1013110,1,0,0
2,1,37,1,,8,1013110,2,0,0
2,1,48,1,,3,1013140,1,1,0
2,2,42,1,1,6,1013140,2,1,0
2,1,44,1,2,3,1013270,1,0,0
2,2,44,1,2,9,1013270,2,0,0
2,1,50,1,,4,1013390,1,1,0
2,2,48,1,1,4,1013390,2,1,0
2,1,47,2,,4,1013420,1,0,0
2,2,44,2,,1,1013420,2,0,0
2,2,30,1,2,7,1013450,1,1,0
2,1,24,1,2,4,1013450,2,1,0
6,2,39,1,1,9,1013500,1,1,0
6,1,38,1,,9,1013500,2,1,0
2,1,47,1,2,5,1013510,1,0,0
2,2,46,1,2,8,1013510,2,0,0
2,1,44,1,1,4,1013560,1,0,0
2,2,37,1,1,8,1013560,2,0,0
2,2,60,2,,9,1013570,1,0,0
2,1,47,1,2,1,1013570,2,0,0
2,2,51,1,2,1,1013580,1,1,0
2,1,44,1,2,1,1013580,2,1,0
2,1,41,1,1,9,1013650,1,1,0
2,2,40,2,,4,1013650,2,1,0
2,1,53,2,,9,1013690,1,0,0
2,2,50,2,,6,1013690,2,0,0
0,1,52,1,2,1,1013910,1,1,0
0,2,49,1,2,1,1013910,2,1,0
2,1,43,1,,8,1014010,1,0,0
2,2,43,1,1,5,1014010,2,0,0
2,1,36,1,2,9,1014020,1,0,0
2,2,35,1,2,9,1014020,2,0,0
3,1,42,1,,8,1014090,1,0,0
3,2,41,1,2,8,1014090,2,0,0
0,1,55,1,2,6,1014100,1,0,0
0,2,52,1,,7,1014100,2,0,0
3,1,43,1,2,8,1014140,1,0,0
3,2,38,1,2,5,1014140,2,0,0
2,1,39,1,2,1,1014170,1,1,0
2,2,37,1,2,1,1014170,2,1,0
2,2,49,1,2,8,1014250,1,0,0
2,1,48,1,2,5,1014250,2,0,0
2,1,49,1,2,4,1014500,1,0,0
2,2,45,1,1,8,1014500,2,0,0
2,1,43,1,2,9,1014510,1,1,0
2,2,32,1,2,9,1014510,2,1,0
2,2,48,2,,9,1014740,1,0,0
2,1,43,1,,4,1014740,2,0,0
3,2,41,2,,3,1014920,1,1,0
3,1,41,1,2,5,1014920,2,1,0
2,1,41,1,2,4,1014950,1,0,0
2,2,40,1,2,1,1014950,2,0,0
3,1,53,1,2,4,1015140,1,1,0
3,2,44,2,,4,1015140,2,1,0
2,1,41,1,,9,1015210,1,0,0
2,2,39,1,2,9,1015210,2,0,0
2,1,34,1,1,8,1015260,1,0,0
2,2,33,1,1,8,1015260,2,0,0
3,1,33,2,,5,1015300,1,0,0
3,2,30,1,2,5,1015300,2,0,0
2,1,35,1,2,9,1015410,1,0,0
2,2,32,1,2,9,1015410,2,0,0
3,1,45,1,2,4,1015520,1,1,0
3,2,37,1,2,4,1015520,2,1,0
3,1,33,1,2,3,1015760,1,1,0
3,2,29,1,2,4,1015760,2,1,0
2,1,55,1,2,1,1015900,1,1,0
2,2,46,1,2,1,1015900,2,1,0
2,1,35,1,2,9,1016040,1,0,0
2,2,34,1,2,9,1016040,2,0,0
2,1,37,1,2,4,1016080,1,0,0
2,2,35,1,2,8,1016080,2,0,0
3,1,49,1,1,9,1016100,1,0,0
3,2,46,1,1,8,1016100,2,0,0
2,1,47,1,2,8,1016160,1,1,0
2,2,44,2,,8,1016160,2,1,0
2,1,48,2,,4,1016250,1,1,0
2,2,46,1,1,1,1016250,2,1,0
3,1,42,1,,9,1016490,1,0,0
3,2,35,2,,9,1016490,2,0,0
4,2,50,2,,4,1016500,1,1,0
4,1,50,1,2,8,1016500,2,1,0
2,1,44,1,2,9,1016520,1,0,0
2,2,40,1,2,8,1016520,2,0,0
1,1,55,2,,4,1016670,1,0,0
1,2,52,2,,1,1016670,2,0,0
2,1,58,1,1,4,1016700,1,1,0
2,2,45,1,1,4,1016700,2,1,0
1,1,47,1,1,4,1016740,1,0,0
1,2,44,1,1,4,1016740,2,0,0
2,1,54,1,2,4,1016960,1,0,0
2,2,53,1,2,4,1016960,2,0,0
4,1,45,1,2,9,1016990,1,1,0
4,2,42,1,2,8,1016990,2,1,0
2,1,55,1,2,9,1017060,1,0,0
2,2,51,,,9,1017060,2,0,0
4,2,41,1,1,5,1017150,1,0,0
4,1,41,1,1,5,1017150,2,0,0
3,1,35,2,,1,1017240,1,1,0
3,2,30,2,,1,1017240,2,1,0
2,2,35,1,2,9,1017260,1,0,0
2,1,32,2,,8,1017260,2,0,0
2,2,42,1,2,9,1017330,1,1,0
2,1,42,1,2,9,1017330,2,1,0
2,2,41,1,2,4,1017340,1,1,0
2,1,40,1,2,6,1017340,2,1,0
2,1,58,1,,8,1017390,1,0,0
2,2,50,1,2,9,1017390,2,0,0
3,2,42,1,2,9,1017440,1,1,0
3,1,38,1,2,9,1017440,2,1,0
2,1,43,1,2,3,1017620,1,1,0
2,2,41,1,2,6,1017620,2,1,0
2,1,38,1,2,,1017820,1,1,0
2,2,34,2,,1,1017820,2,1,0
3,1,52,1,2,9,1017830,1,0,0
3,2,48,1,2,9,1017830,2,0,0
3,1,48,1,2,1,1017840,1,1,0
3,2,44,2,,1,1017840,2,1,0
3,1,40,1,2,4,1017870,1,1,0
3,2,38,1,2,9,1017870,2,1,0
2,1,35,1,,8,1017900,1,0,0
2,2,31,1,2,9,1017900,2,0,0
2,1,42,1,,4,1017910,1,0,0
2,2,39,1,2,7,1017910,2,0,0
1,1,52,1,1,8,1017920,1,1,0
1,2,50,1,1,7,1017920,2,1,0
2,2,48,1,2,9,1018020,1,1,0
2,1,47,1,2,9,1018020,2,1,0
4,1,56,1,,9,1018070,1,1,0
4,2,54,2,,9,1018070,2,1,0
2,1,39,1,,4,1018130,1,0,0
2,2,38,1,2,4,1018130,2,0,0
1,1,48,1,2,1,1018210,1,0,0
1,2,44,1,2,3,1018210,2,0,0
3,1,46,1,2,1,1018350,1,1,0
3,2,39,2,,4,1018350,2,1,0
2,2,52,1,1,4,1018460,1,0,0
2,1,46,1,1,1,1018460,2,0,0
3,2,47,1,2,9,1018490,1,0,0
3,1,42,1,2,6,1018490,2,0,0
2,2,41,1,2,9,1018540,1,1,0
2,1,41,1,2,9,1018540,2,1,0
2,1,43,1,1,9,1018610,1,1,0
2,2,41,1,1,9,1018610,2,1,0
2,1,47,1,2,4,1018660,1,1,0
2,2,46,1,2,6,1018660,2,1,0
2,1,35,1,2,2,1018680,1,1,0
2,2,29,2,,8,1018680,2,1,0
3,1,48,1,,1,1018740,1,0,0
3,2,45,1,2,1,1018740,2,0,0
2,1,51,1,2,4,1018790,1,1,0
